COD_IBGE,ENQUADRAMENTO_n,VALORBENEFÍCIO_mean,Abril,ValorAbril,Maio,ValorMaio,Junho,ValorJunho,Julho,ValorJulho
,27,62222.2222222222,27,62.2222222222222,25,60,8,60,13,60
1100015,6513,68254.2607093505,6513,68.2542607093505,8006,67.4868848363727,4938,69.0522478736331,2580,65.1162790697674
1100023,24341,71923.0927242102,24341,71.9230927242102,31130,70.5525216832637,16796,72.5708502024292,12202,67.9806589083757
1100031,1219,68662.8383921247,1219,68.6628383921247,1610,68.0869565217391,924,68.8961038961039,648,66.9444444444444
1100049,18912,69289.3401015228,18912,69.2893401015228,24073,68.1925808997632,13513,69.8260933915489,9165,66.2324058919804
1100056,4216,70147.0588235294,4216,70.1470588235294,5158,69.1198138813494,2864,72.0879888268156,1889,66.2890418210693
1100064,3508,67594.070695553,3508,67.594070695553,4633,66.9674077271746,2494,67.794707297514,1908,66.0062893081761
1100072,1761,69608.1771720613,1761,69.6081771720613,2241,69.4779116465864,1394,69.7704447632712,726,69.6694214876033
1100080,4452,70431.2668463612,4452,70.4312668463612,4868,69.9835661462613,3578,71.7887087758524,1022,65.5772994129158
1100098,7198,69269.24145596,7198,69.26924145596,9123,68.2604406445248,5624,69.6123755334282,3261,65.869365225391
1100106,12701,70643.2564365011,12701,70.6432564365011,14433,70.222406983995,9162,71.683038637852,4212,67.8774928774929
1100114,12125,70688.6597938144,12125,70.6886597938144,15700,69.1796178343949,8825,71.1501416430595,6044,66.3236267372601
1100122,27265,70226.2974509444,27265,70.2262974509444,35905,69.0455368333101,18231,69.9193681092644,15408,67.9361370716511
1100130,9420,69165.6050955414,9420,69.1656050955414,11396,68.3766233766234,6549,69.9404489234998,3994,66.2643965948923
1100148,5080,66909.4488188976,5080,66.9094488188976,5856,66.5061475409836,3844,67.8824141519251,1521,64.1420118343195
1100155,8846,68783.6310196699,8846,68.7836310196699,11255,67.8151932474456,6009,69.3859211183225,4397,66.6181487377758
1100189,6906,71007.819287576,6906,71.007819287576,9148,69.930039352864,4864,70.8922697368421,3808,68.7605042016807
1100205,131463,73020.6978389357,131463,73.0206978389357,160397,71.7540851761567,90915,74.8107573007755,59272,67.5445404238089
1100254,6117,69082.8837665522,6117,69.0828837665522,6978,68.4608770421324,4237,71.3995751711116,2032,64.1338582677165
1100262,871,70470.7233065442,871,70.4707233065442,1089,69.9173553719008,641,71.606864274571,402,67.910447761194
1100288,12101,69678.538963722,12101,69.678538963722,15725,68.7987281399046,8088,70.1038575667656,6348,67.3345935727788
1100296,1904,68981.0924369748,1904,68.9810924369748,2366,67.9881656804734,1370,70.0729927007299,807,64.7583643122677
1100304,19566,72048.4513952775,19566,72.0484513952775,25036,70.8108324013421,12822,73.0135704258306,10013,68.3471487066813
1100320,5364,67897.0917225951,5364,67.8970917225951,7026,67.2331340734415,3708,67.7831715210356,2633,66.9958222559818
1100338,7406,68911.6932217121,7406,68.9116932217121,8907,68.5618053216571,5458,68.9813118358373,3089,67.4781482680479
1100346,4339,69900.898824614,4339,69.900898824614,5045,69.0862239841427,3189,71.7215428033867,1391,64.7879223580158
1100379,2890,67536.3321799308,2890,67.5363321799308,3624,67.2682119205298,2388,67.6633165829146,1155,67.0649350649351
1100403,5040,68273.8095238095,5040,68.2738095238095,5966,67.6433121019108,3592,69.2204899777283,1903,65.8328954282711
1100452,9450,68241.2698412698,9450,68.2412698412698,11932,67.6483405967147,7493,68.3517950086748,4111,66.5969350522987
1100502,2391,66122.9611041405,2391,66.1229611041405,2748,65.6331877729258,1792,66.9977678571429,751,64.0745672436751
1100601,1314,66575.3424657534,1314,66.5753424657534,1564,65.8695652173913,896,66.9642857142857,516,65.3488372093023
1100700,2832,65720.3389830509,2832,65.7203389830509,3416,65.655737704918,2114,66.4995269631031,1164,65.0515463917526
1100809,7844,76766.9556348802,7844,76.7669556348802,8887,75.467536851581,5700,79.7052631578947,2583,67.3403019744483
1100908,875,66651.4285714286,875,66.6514285714286,1068,66.2921348314607,630,67.2380952380952,323,65.7585139318885
